task,mediapipe_pnp_W,hamer_pnp_W,wilor_pnp_W,wilor_owncam_W,mediapipe_pnp_PA,hamer_pnp_PA,wilor_pnp_PA,wilor_owncam_PA,n_clips_frames
Add Remove Lid,104.2,146.1,76.0,197.9,21.2,12.8,11.0,11.0,399
Dry Hands,101.7,197.1,138.5,218.7,12.7,11.6,9.7,9.7,483
Flip Pages,140.4,160.9,137.0,209.3,18.9,10.3,10.3,10.3,522
Insert and remove AirPods,111.8,110.6,97.7,186.0,16.2,10.7,9.8,9.8,353
Point and click remote,142.7,118.4,69.6,213.7,26.6,10.7,9.6,9.6,443
Pour,110.5,127.3,138.4,214.9,18.6,13.2,10.6,10.6,30
Stack,97.0,130.3,79.3,229.6,17.4,11.6,9.7,9.7,84
Vertical Pick & Place,68.2,77.0,36.4,159.7,19.5,9.9,8.8,8.8,87
arrange_topple_dominoes,62.5,104.7,60.8,160.0,20.6,11.9,10.5,10.5,1455
assemble_disassemble_furniture_bench_chair,67.8,45.9,29.4,168.9,15.6,11.0,9.6,9.6,161
assemble_disassemble_furniture_bench_desk,58.9,94.4,52.0,180.9,16.5,11.4,11.7,11.7,226
assemble_disassemble_furniture_bench_drawer,36.3,63.1,45.4,181.4,15.0,11.0,9.9,9.9,90
assemble_disassemble_furniture_bench_lamp,62.7,58.9,39.5,141.7,28.4,12.0,9.8,9.8,91
assemble_disassemble_furniture_bench_square_table,102.3,93.1,54.8,174.3,15.0,11.9,11.6,11.6,123
assemble_disassemble_furniture_bench_stool,77.0,63.9,50.5,154.3,18.8,11.8,9.9,9.9,413
assemble_disassemble_legos,75.0,73.4,55.6,147.1,19.4,9.8,8.6,8.6,318
assemble_disassemble_soft_legos,52.1,52.8,37.2,156.3,17.8,11.3,10.7,10.7,2068
assemble_disassemble_structures,59.7,70.2,25.2,134.0,16.9,10.5,9.3,9.3,1157
assemble_disassemble_tiles,70.7,86.8,65.7,155.4,17.2,11.0,10.2,10.2,1546
assemble_jenga,133.7,137.4,101.0,201.5,17.9,10.5,9.2,9.2,479
basic fold,72.9,114.8,70.9,203.3,18.4,11.8,10.8,10.8,533
basic_pick_place,51.0,150.0,26.9,202.2,20.0,10.1,8.4,8.4,277
boil_serve_egg,64.6,90.0,61.2,195.7,19.4,11.4,10.5,10.5,724
braid_unbraid,163.5,213.1,122.6,240.2,14.8,11.1,9.6,9.6,689
build_unstake_lego,74.4,93.3,65.2,177.9,20.0,10.4,9.9,9.9,695
charge_uncharge_airpods,49.5,54.3,40.4,156.0,15.1,12.7,11.0,11.0,174
charge_uncharge_device,73.8,112.2,75.7,213.6,14.7,10.4,9.4,9.4,100
clean surface,59.4,57.3,45.2,196.4,18.0,11.5,9.9,9.9,390
clean_cups,61.5,65.6,51.4,137.7,17.6,10.3,9.5,9.5,467
clean_tableware,71.1,101.8,75.2,153.8,19.1,14.0,12.6,12.6,179
clip_unclip_papers,62.8,86.4,31.2,177.3,17.2,11.4,10.0,10.0,2187
coloring,121.5,145.2,144.4,196.0,14.5,10.8,9.5,9.5,375
crumple_flatten_paper,62.7,81.2,34.5,164.1,21.0,12.1,10.4,10.4,758
deal_gather_cards,48.3,67.3,41.8,160.7,15.0,11.1,10.3,10.3,444
declutter_desk,55.9,55.0,51.4,155.2,25.6,13.2,10.0,10.0,579
fidget_magnetic_spinner_rings,173.7,127.8,94.1,193.4,21.3,12.5,9.8,9.8,1100
flip_coin,64.6,69.9,56.0,119.2,13.3,10.1,9.2,9.2,240
fold_stack_unstack_unfold_cloths,61.4,50.1,55.5,150.1,17.5,10.9,10.3,10.3,700
fold_unfold_paper_basic,58.8,60.2,29.0,193.1,17.9,11.0,9.6,9.6,527
fold_unfold_paper_origami,36.2,31.9,26.0,97.8,16.0,11.3,10.1,10.1,596
fry_bread,56.7,95.2,97.0,203.6,18.0,13.5,11.7,11.7,130
fry_egg,37.8,68.3,58.6,204.4,13.6,14.6,11.6,11.6,51
gather_roll_dice,123.6,130.9,95.3,248.3,17.8,9.6,10.0,10.0,311
insert_dump_blocks,106.1,139.5,98.1,179.8,12.5,9.7,9.1,9.1,177
insert_remove_bagging,67.4,65.0,40.6,157.0,23.9,13.0,11.1,11.1,267
insert_remove_bookshelf,47.9,92.4,28.6,241.0,16.6,10.7,10.1,10.1,458
insert_remove_cups_from_rack,60.6,66.8,41.8,148.5,22.3,12.8,10.1,10.1,155
insert_remove_drawer,49.0,51.0,25.5,156.0,16.0,11.3,9.9,9.9,193
insert_remove_furniture_bench_cabinet,100.5,54.4,36.2,149.8,14.7,12.2,11.0,11.0,136
insert_remove_furniture_round_table,82.9,57.7,38.4,217.1,15.5,10.3,10.1,10.1,271
insert_remove_plug_socket,59.2,66.5,35.5,174.5,15.9,10.0,9.5,9.5,184
insert_remove_shirt_in_tube,56.1,36.7,29.3,158.3,19.3,11.1,10.6,10.6,843
insert_remove_tennis_ball,60.1,56.3,24.0,165.4,18.6,11.4,9.6,9.6,873
insert_remove_usb,82.0,71.7,51.2,168.9,14.7,10.7,9.3,9.3,295
insert_remove_utensils,76.9,89.5,51.7,157.0,22.1,13.1,12.4,12.4,75
knead_slime,73.0,72.8,62.1,141.2,16.9,10.8,9.7,9.7,792
load_dispense_ice,52.3,39.3,36.6,212.6,18.5,9.7,8.8,8.8,1746
lock_unlock_key,49.6,67.4,41.2,140.9,16.4,11.6,10.2,10.2,363
make_sandwich,50.7,89.2,63.5,163.6,16.4,10.9,10.1,10.1,951
measure_objects,48.3,52.8,24.8,140.3,20.4,10.8,9.8,9.8,1329
open_close_insert_remove_box,57.1,92.5,49.6,195.0,18.8,11.3,9.9,9.9,489
open_close_insert_remove_case,74.7,119.0,75.1,196.6,22.5,12.4,9.4,9.4,476
open_close_insert_remove_tupperware,48.3,41.5,24.3,208.0,17.0,10.3,8.8,8.8,497
paint_clean_brush,53.0,66.7,47.0,153.2,15.9,10.9,9.6,9.6,856
peel_place_sticker,50.2,122.9,61.8,146.1,13.5,9.5,8.9,8.9,191
pick up and put down case or bag,43.5,72.3,26.8,237.3,14.9,10.0,8.4,8.4,444
pick_place_food,63.7,82.5,49.0,186.9,18.0,12.2,10.2,10.2,120
play_mancala,52.7,48.6,41.8,155.4,19.8,11.1,10.1,10.1,451
play_piano,64.3,69.8,53.9,162.1,14.1,9.2,8.6,8.6,600
play_reset_connect_four,103.9,139.8,132.2,212.4,15.5,10.2,9.5,9.5,124
pour,58.3,38.3,25.8,229.1,15.5,10.1,9.4,9.4,187
push_pop_toy,69.0,64.9,47.1,181.1,24.3,11.0,9.8,9.8,821
put_away_set_up_board_game,65.2,102.8,50.6,162.9,20.7,13.9,12.4,12.4,568
put_in_take_out_glasses,65.2,101.8,81.3,196.0,16.5,10.9,10.1,10.1,616
put_toothpaste_on_toothbrush,45.9,65.4,43.2,187.0,14.5,11.5,9.8,9.8,1424
rake_smooth_zen_garden,100.6,152.0,130.6,204.3,19.6,11.2,9.3,9.3,1117
roll_ball,87.9,145.2,85.7,255.7,22.4,11.8,10.0,10.0,547
scoop_dump_ice,68.6,112.5,65.8,198.2,20.2,12.9,11.7,11.7,140
screw unscrew bottle cap,60.8,85.3,64.7,154.8,17.2,10.7,10.0,10.0,145
screw_unscrew_allen_fixture,41.8,39.7,43.0,118.4,17.6,10.7,9.5,9.5,687
screw_unscrew_fingers_fixture,61.9,44.3,36.7,138.4,15.5,11.6,9.8,9.8,438
set_up_clean_up_chessboard,61.3,102.4,84.4,153.0,17.0,12.6,11.6,11.6,1233
setup_cleanup_table,57.4,100.5,48.3,189.3,19.3,11.6,10.5,10.5,887
sleeve_unsleeve_cards,48.8,44.2,22.7,110.7,22.0,10.4,9.8,9.8,2502
slot_batteries,57.8,86.2,70.1,170.8,15.0,12.6,11.0,11.0,477
sort_beads,50.3,53.7,38.0,137.2,17.3,10.1,9.1,9.1,775
stack unstack cups,56.0,99.4,63.2,223.6,18.4,12.4,10.7,10.7,91
stack_remove_jenga,156.5,140.5,98.8,223.2,23.7,9.9,8.5,8.5,198
stack_unstack_bowls,66.1,78.4,55.9,156.5,18.5,10.7,9.7,9.7,275
stack_unstack_plates,51.3,89.5,70.6,213.8,15.5,10.8,9.9,9.9,74
stack_unstack_tupperware,42.0,49.8,27.5,236.4,17.2,9.7,7.8,7.8,885
staple_paper,56.2,57.2,28.4,127.9,20.3,11.9,11.0,11.0,3310
